bookDescription,newPrice,newPriceDiscount,preOwnedPrice,preOwnedPriceDiscount
"Arihant Classic Texts Series Problems in General Physics by IE Irodov | Advanced Physics Question Bank for IIT JEE, NEET, Engineering and Olympiad Exam Preparation 2025",245,198,140,10
NCERT | CHEMISTRY | CLASS 12 PART 1 & 2,360,193,207,137
"PW 38 Years NEET Previous Year Solved Question Papers Physics, Chemistry and Biology PYQ Combo Set of 3 Books (2025 - 1988) Chapterwise Topicwise Solutions For NEET Exam 2026 [Paperback] PW",1307,793,621,445
Mathematics NCERT Textbook For Class XII Part I + Part II (English Medium) by NCERT 2025-26 Edition,270,1,1,1
NCERT Textbook for Class-XII | Physic Part-I | Physics Part-II | 2 Books Set | Latest Edition,400,1,1,2
"Advanced Problems in Mathematics for JEE (Main & Advanced) - 11th Edition, 2025",460,1,1,1
"Arihant All in One Science Class 10 for CBSE Exams 2025-26 | Revised Edition as per latest syllabus | Mind Maps, CBQs, Focused Theory, Practice Exercises, Sample Papers",575,1,1,1
PHYSICS GALAXY 2020-21 : ADVANCED ILLUSTRATION IN PHYSICS,595,1,1,1
"Arihant All in one Mathematics Class 10 for ICSE Exams 2026 | With Board's Questions Upto 2025, Simplified Theory, Topic & Chapter Exercises, Exam Pattern Questions, Sample Question Papers, Internal Assessment",555,1,1,1
"Arihant 38 Years NEET Chemistry Chapterwise Topicwise Solved Papers (2025–1988) | 1500+ MCQs with NCERT References, Concept Enhancer, Difficulty Level Sorting | Includes Manipur 2023 and Re-NEET 2022 and 2024",345,1,1,1
"Problems in Physical Chemistry for JEE (Main & Advanced) - 18th Edition, 2025",690,1,1,1
"Problems in Inorganic Chemistry for JEE (Main & Advanced) - 18th Edition, 2025",1,1,1,1
Rd Sharma Class 10 Maths 2025-26 CBSE Examinations | R D Sharma Class 10 Mathematics with MCQ Book (Set of 2 Books),645,1,1,1
Oswaal CBSE Question Bank Chapterwise and Topicwise SOLVED PAPERS Class 10 Mathematics (Standard) For Exam 2026,699,1,1,1
